key	text	tooltip
#Loc;1;text/db/ancillaries__.loc
ancillaries_colour_text_wh2_dlc09_anc_arcane_item_blue_khepra	Được làm từ ngọc bích ngoại lai, chế tác theo hình dạng bọ cánh cứng Khepra ăn thịt, chiếc trâm cài này bảo vệ người đeo khỏi bất kỳ ma thuật hắc ám nào nhắm vào họ.	false
ancillaries_colour_text_wh2_dlc09_anc_arcane_item_enkhils_kanopi	Chiếc bình đất sét giản dị có vẻ không mấy ấn tượng, nhưng tinh hoa Bất diệt của Đại tư tế bên trong có thể ngăn chặn tà thuật và cường hóa các câu chú.	false
ancillaries_colour_text_wh2_dlc09_anc_arcane_item_neferras_scrolls_of_mighty_incantations	Tám cuộn giấy phép thuật này, chứa đựng toàn bộ tri thức cả đời của Neferra, có thể tạo ra một cơn bão sức mạnh không thể cản phá để nghiền nát kẻ thù.	false
ancillaries_colour_text_wh2_dlc09_anc_arcane_item_staff_of_nagash	Được tạo ra bởi Đại phù thủy triệu hồi, cây trượng này khai thác Ma thuật Hắc ám từ sâu bên trong Kim tự tháp Đen bị nguyền rủa.	false
ancillaries_colour_text_wh2_dlc09_anc_arcane_item_the_liche_staff	Tất cả các vị thần và nữ thần của Nehekhara đều được khắc dọc theo cây trượng đồng cổ xưa này, ban cho Khatep quyền năng chế ngự sức mạnh ma thuật tiềm ẩn của họ.	false
ancillaries_colour_text_wh2_dlc09_anc_armour_armour_armour_of_dawn	Những ai mặc bộ giáp tấm mê hoặc này sẽ nhận được sức mạnh và sự ưu ái của Geheb, cho phép họ đỡ được một đòn chí mạng bằng một cú chệch hướng dường như là may mắn.	false
ancillaries_colour_text_wh2_dlc09_anc_armour_armour_helmet_of_khsar	Chiếc mũ cối này được khắc một lời cầu khẩn đến Thần Sa mạc ác độc, để sự hung bạo dã man của ông có thể xâm chiếm người đeo nó.	false
ancillaries_colour_text_wh2_dlc09_anc_armour_armour_mortuary_robes	"…và trang phục của họ sẽ chứa đựng những dòng chữ mà không người nào biết đến."	false
ancillaries_colour_text_wh2_dlc09_anc_armour_armour_of_eternity	Được rèn từ đồng, tôi trong máu của bọ cạp Lybrasian khổng lồ, và mạ vàng đỏ cùng vàng Lahmian, tấm giáp ngực cổ xưa này sẽ gạt bỏ tất cả trừ những đòn đánh mạnh nhất.	false
ancillaries_colour_text_wh2_dlc09_anc_armour_armour_of_the_ages	Bộ giáp này truyền cho người đeo khả năng tiếp tục chiến đấu ngay cả khi bị thương nặng.	false
ancillaries_colour_text_wh2_dlc09_anc_armour_armour_shield_of_ptra	Chiếc khiên huyền bí này dẫn truyền năng lượng trắng nóng từ Thần Mặt trời, giải phóng nó trong một luồng ánh sáng chói lòa.	false
ancillaries_colour_text_wh2_dlc09_anc_armour_armour_skull_cap_of_the_moon	Chiếc mũ nhỏ màu xanh này được trang trí bằng những lời cầu nguyện tới Neru, để bà có thể chăm sóc đặc biệt cho cái đầu quý giá của người đeo.	false
ancillaries_colour_text_wh2_dlc09_anc_armour_scorpion_armour	Những tấm giáp hoa văn này được trang trí theo hình ảnh của Thần Bọ cạp; năng lượng bảo vệ của ông thấm thấu vào chính kim loại được sử dụng, mang lại sự bảo vệ bổ sung cho người đeo.	false
ancillaries_colour_text_wh2_dlc09_anc_enchanted_item_brooch_of_the_great_desert	Món đồ trang sức tinh xảo này cản trở hiệu quả của Ma thuật Hắc ám nhắm vào nó.	false
ancillaries_colour_text_wh2_dlc09_anc_enchanted_item_cloak_of_the_dunes	Chính sa mạc sẽ là chiếc áo choàng của bạn... và là sự diệt vong của kẻ thù.	false
ancillaries_colour_text_wh2_dlc09_anc_enchanted_item_death_mask_of_kharnut	Chứng kiến sự diệt vong của hàng ngàn người qua nhiều thế kỷ, vết nhơ của cái chết đè nặng lên chiếc mặt nạ vô hồn của Hoàng tử Kharnut, với nỗi kinh hoàng luôn bám sát phía sau.	false
ancillaries_colour_text_wh2_dlc09_anc_enchanted_item_elixir_of_might	Một ngụm tiên dược này sẽ lấp đầy cơ thể người uống bằng sức mạnh của nhiều chiến binh tinh nhuệ, hùng mạnh.	false
ancillaries_colour_text_wh2_dlc09_anc_enchanted_item_golden_deathmask_of_kharnut	Vết nhơ hôi thối của cái chết đè nặng lên chiếc mặt nạ tử thần tinh xảo của Hoàng tử Kharnut, bóp nghẹt trái tim của những ai nhìn vào nó và khiến họ đóng băng trong nỗi kinh hoàng.	false
